month,state,city,sessions
2024-07,Florida,Keystone Heights,2
2024-07,Florida,Lake Mary,3
2024-07,Florida,Lauderhill,1
2024-07,Florida,Leesburg,1
2024-07,Florida,Melbourne,2
2024-07,Florida,Miami,31
2024-07,Florida,Miami Beach,2
2024-07,Florida,Naples,1
2024-07,Florida,Navarre,2
2024-07,Florida,Ocala,1
2024-07,Florida,Opa-locka,1
2024-07,Florida,Orange Park,1
2024-07,Florida,Orlando,21
2024-07,Florida,Palm Coast,1
2024-07,Florida,Pembroke Pines,2
2024-07,Florida,Plantation,1
2024-07,Florida,Saint Augustine,2
2024-07,Florida,Tampa,3
2024-07,Florida,The Villages,1
2024-07,Florida,Wellington,1
2024-07,Florida,West Palm Beach,6
2024-07,Florida,Weston,2
2024-07,Florida,Winter Garden,2
2024-07,Florida,Winter Park,1
2024-07,Florida,Winter Springs,1
2024-07,Georgia,Unknown,2
2024-07,Georgia,Alpharetta,1
2024-07,Georgia,Atlanta,18
2024-07,Georgia,Augusta,2
2024-07,Georgia,Columbus,1
2024-07,Georgia,Decatur,7
2024-07,Georgia,Ellijay,1
2024-07,Georgia,Fairburn,1
2024-07,Georgia,Fayetteville,1
2024-07,Georgia,Hoschton,2
2024-07,Georgia,Kennesaw,1
2024-07,Georgia,Lawrenceville,3
2024-07,Georgia,Peachtree Corners,1
2024-07,Georgia,Waynesboro,1
2024-07,Hawaii,Honolulu,1
2024-07,Hawaii,Kailua-Kona,4
2024-07,Hawaii,Kaneohe,1
2024-07,Hawaii,Kihei,1
2024-07,Idaho,Unknown,1
2024-07,Idaho,Boise,2
2024-07,Idaho,Eagle,2
2024-07,Idaho,Meridian,1
2024-07,Idaho,Nampa,1
2024-07,Idaho,Rathdrum,1
2024-07,Illinois,Unknown,5
2024-07,Illinois,Addison,1
2024-07,Illinois,Antioch,1
2024-07,Illinois,Arlington Heights,1
2024-07,Illinois,Bradley,1
2024-07,Illinois,Chicago,59
2024-07,Illinois,Crystal Lake,1
2024-07,Illinois,Elmhurst,1
2024-07,Illinois,Gilberts,1
2024-07,Illinois,Highland Park,1
2024-07,Illinois,Hoffman Estates,1
2024-07,Illinois,Lisle,1
2024-07,Illinois,Morton Grove,1
2024-07,Illinois,Ottawa,2
2024-07,Illinois,Petersburg,1
2024-07,Illinois,Springfield,2
2024-07,Illinois,Taylorville,1
2024-07,Illinois,Wilmette,2
2024-07,Illinois,Winnetka,1
2024-07,Indiana,Unknown,1
2024-07,Indiana,Anderson,1
2024-07,Indiana,Columbus,2
2024-07,Indiana,Frankfort,1
2024-07,Indiana,Hammond,1
2024-07,Indiana,Holland,3
2024-07,Indiana,Indianapolis,2
2024-07,Indiana,Oakland City,1
2024-07,Indiana,Westfield,1
2024-07,Iowa,Des Moines,152
2024-07,Iowa,Marion,2
2024-07,Iowa,Perry,1
2024-07,Kansas,Kansas City,1
2024-07,Kansas,Overland Park,1
2024-07,Kentucky,Benton,1
2024-07,Kentucky,La Grange,1
2024-07,Kentucky,Lexington,1
2024-07,Kentucky,Louisville,2
2024-07,Kentucky,Manchester,1
2024-07,Kentucky,Radcliff,1
2024-07,Kentucky,Russell Springs,1
2024-07,Kentucky,Stanford,2
2024-07,Louisiana,Unknown,1
2024-07,Louisiana,Baton Rouge,4
2024-07,Louisiana,Mandeville,2
2024-07,Louisiana,Metairie,1
2024-07,Louisiana,New Orleans,2
2024-07,Louisiana,Thibodaux,1
2024-07,Maine,Farmington,1
2024-07,Maine,Newcastle,1
2024-07,Maine,Portland,2
2024-07,Maine,Princeton,1
2024-07,Maryland,Annapolis,3
2024-07,Maryland,Baltimore,6
2024-07,Maryland,Bel Air,1
2024-07,Maryland,Bethesda,1
2024-07,Maryland,Emmitsburg,1
2024-07,Maryland,Glen Burnie,2
2024-07,Maryland,Halethorpe,1
2024-07,Maryland,Havre de Grace,1
2024-07,Maryland,Hyattsville,1
2024-07,Maryland,Odenton,1
2024-07,Maryland,Owings Mills,1
2024-07,Maryland,Pasadena,1
2024-07,Maryland,Rockville,1
2024-07,Maryland,Silver Spring,5
2024-07,Maryland,Timonium,1
2024-07,Maryland,Upper Marlboro,1
2024-07,Massachusetts,Unknown,1
2024-07,Massachusetts,Allston,2
2024-07,Massachusetts,Boston,6
2024-07,Massachusetts,Brockton,1
2024-07,Massachusetts,Cambridge,1
2024-07,Massachusetts,Franklin,2
2024-07,Massachusetts,Great Barrington,1
2024-07,Massachusetts,Holden,1
2024-07,Massachusetts,Hyannis,1
2024-07,Massachusetts,Lexington,2
2024-07,Massachusetts,Methuen,2
2024-07,Massachusetts,Newton,2
2024-07,Massachusetts,Orleans,1
2024-07,Massachusetts,Roslindale,1
2024-07,Massachusetts,Scituate,1
2024-07,Massachusetts,Sharon,1
2024-07,Massachusetts,Somerville,2
2024-07,Massachusetts,Wakefield,1
2024-07,Massachusetts,Weymouth,1
2024-07,Michigan,Ann Arbor,4
2024-07,Michigan,Bay City,1
2024-07,Michigan,Benton Harbor,2
2024-07,Michigan,Bloomfield Hills,1
2024-07,Michigan,Clarkston,1
2024-07,Michigan,Clinton Township,1
2024-07,Michigan,Coldwater,1
2024-07,Michigan,Detroit,4
